Video_Link,Title,Published_At,Thumbnail_URL,Description,,
https://youtu.be/LEAXyTRZ0RY,Danielle for 12,1/28/2022,https://i.ytimg.com/vi/LEAXyTRZ0RY/hqdefault.jpg,Here's a short compilation of 6 baskets Danielle scored against Mt. Pleasant on 1/26/22.  I think she had 2 other baskets I didn't get on video.  Lincoln won something like 51-16.,,
https://youtu.be/mZ09uFPPRVQ,Danielle BB 1st Week of Feb 2022,2/7/2022,https://i.ytimg.com/vi/mZ09uFPPRVQ/hqdefault.jpg,"Danielle's highlights from 3 games the week of Feb. 1, 2022.  Lincoln went 3-0 and beat #1 team twice.  They have 3 upcoming games the week of Feb. 7, and win the league if the go 3-0.  Two of those games are easy wins, the other is to avenge a loss.",,
https://youtu.be/VC5SDvo-CKY,Danielle BB 2nd Wk Feb game1,2/8/2022,https://i.ytimg.com/vi/VC5SDvo-CKY/hqdefault.jpg,"Last week of season, the 1st of 3 games, this against Mt. Pleasant.  Danielle is shown scoring 14 pts and we win 42-23.  Ref's don't seem to call fouls committed against us anymore.  This game we got called for 17 fouls, the other team only 3.  It's very hard to get called for a slapping or grabbing foul inside against us.",,
https://youtu.be/JioJnsmW9Fo,Danielle 19pts,7/2/2022,https://i.ytimg.com/vi/JioJnsmW9Fo/hqdefault.jpg,"Last Oak Grove Summer League game of 2022.  Sort of a revenge game for Lincoln...Oak Grove crushed them by 30 in CCS Playoffs a few months ago.  This time, Lincoln dominated all the way.  Danielle had 19 pts.",,
https://youtu.be/dg6yGvA2B-0,2022-11-15 1st Quarter - Leland Scrimmage,11/19/2022,https://i.ytimg.com/vi/dg6yGvA2B-0/hqdefault.jpg,Preseason Scrimmage...we are missing a bunch of players,,
https://youtu.be/etbci6rTADg,2022-11-15 3rd Quarter - Leland Scrimmage,11/19/2022,https://i.ytimg.com/vi/etbci6rTADg/hqdefault.jpg,Preseason Scrimmage,,
https://youtu.be/MXd6Dwa4uko,2022-11-15 4th Quarter - Leland Scrimmage,11/19/2022,https://i.ytimg.com/vi/MXd6Dwa4uko/hqdefault.jpg,Preseason Scrimmage,,
https://youtu.be/Og-9anjJqJw,2022-11-15 2nd Quarter - Leland Scrimmage,11/19/2022,https://i.ytimg.com/vi/Og-9anjJqJw/hqdefault.jpg,Preseason Scrimmage,,
https://youtu.be/fEwis2NV3RU,2021 11 15 Danielle Highlights,11/22/2022,https://i.ytimg.com/vi/fEwis2NV3RU/hqdefault.jpg,"These are some Highlights from a preseason scrimmage against Leland High, a very good guard-oriented team.  Lincoln has 3 guards out with sprained ankles and are very weak passing the ball in this game.  I included more game footage to show that Danielle is more mobile this year and kind of a terror on defense.  Her shooting was off a bit, but I included her 2 made shots and the three misses she probably should have made.",,
https://youtu.be/NXJrdkwksFM,22 11 30 Game1 James Lick,12/1/2022,https://i.ytimg.com/vi/NXJrdkwksFM/hqdefault.jpg,"First game of Season for Lincoln, but they were playing a very bad team and destroyed them.  Up 47-0 after 3 quarters, ended up being 53-3 with running clock 4th quarter.  Danielle had 8 pts, but her highlights were actually two shots she missed after making good moves.",,
